config,memory,test,parallel,run,ops_per_sec
LLFree,CXL,get_pages(2MB)-alloc,4,2,39146
LLFree,CXL,get_pages(2MB)-free,4,2,39897
LLFree,DRAM,random_get_free_4K2M,4,2,746753
LLFree,CXL,random_get_free_4K2M,4,2,304908
LLFree,DRAM,kmalloc,8,2,742280
LLFree,user,user_malloc(even[16-256]),1,2,22344988
LLFree,user,user_malloc(even[16-256]),2,2,44060338
LLFree,user,user_malloc(even[16-256]),4,2,89559328
LLFree,user,user_malloc(even[16-256]),8,2,167040392
LLFree,user,user_malloc(even[16-256]),16,2,279142816
LLFree,user,user_malloc(even[16-256]),32,2,380058080
LLFree,user,user_malloc(even[16-256]),64,2,174818752
LLFree,user,user_malloc(even[16-256]),96,2,75359232
LLFree,DRAM,kmalloc,1,3,764907
LLFree,CXL,kmalloc,1,3,181283
LLFree,DRAM,get_pages(4KB)-alloc,1,3,146330
LLFree,DRAM,get_pages(4KB)-free,1,3,2359497
LLFree,DRAM,get_pages(2MB)-alloc,1,3,14216
LLFree,DRAM,get_pages(2MB)-free,1,3,76338
LLFree,CXL,get_pages(4KB)-alloc,1,3,95912
LLFree,CXL,get_pages(4KB)-free,1,3,583021
LLFree,CXL,get_pages(2MB)-alloc,1,3,10179
LLFree,CXL,get_pages(2MB)-free,1,3,42856
LLFree,DRAM,random_get_free_4K2M,1,3,577273
LLFree,CXL,random_get_free_4K2M,1,3,269816
LLFree,DRAM,kmalloc,4,3,1343152
LLFree,CXL,kmalloc,4,3,107682
LLFree,DRAM,get_pages(4KB)-alloc,4,3,1554965
LLFree,DRAM,get_pages(4KB)-free,4,3,2299952
LLFree,DRAM,get_pages(2MB)-alloc,4,3,50536
LLFree,DRAM,get_pages(2MB)-free,4,3,77894
LLFree,CXL,get_pages(4KB)-alloc,4,3,770365
LLFree,CXL,get_pages(4KB)-free,4,3,591558
LLFree,CXL,get_pages(2MB)-alloc,4,3,47943
LLFree,CXL,get_pages(2MB)-free,4,3,45350
LLFree,DRAM,random_get_free_4K2M,4,3,774522
LLFree,CXL,random_get_free_4K2M,4,3,340790
LLFree,DRAM,kmalloc,8,3,982640
LLFree,CXL,kmalloc,8,3,74927
LLFree,DRAM,get_pages(4KB)-alloc,8,3,2084054
