percentile,empty_t1,empty_t4,empty_t8,read_t1,read_t4,read_t8
3.5,4277,10057,20768,7278,23791,52935
3.5,4277,10066,20781,7279,23792,52935
3.5,4277,10067,20784,7280,23796,52938
3.5,4277,10067,20789,7283,23798,52940
3.5,4277,10068,20791,7284,23801,52944
3.5,4278,10082,20793,7285,23804,52948
3.5,4278,10084,20820,7286,23805,52957
3.5,4278,10085,20844,7288,23807,52970
3.5,4278,10090,20857,7288,23809,52974
3.6,4278,10094,20860,7292,23810,52977
3.6,4279,10095,20866,7295,23812,52979
3.6,4279,10100,20868,7295,23814,52980
3.6,4279,10105,20889,7295,23817,52980
3.6,4279,10111,20916,7298,23820,52982
3.6,4279,10128,20917,7298,23821,52983
3.6,4280,10129,20921,7300,23824,52985
3.6,4280,10133,20959,7300,23825,52988
3.7,4280,10137,20962,7300,23835,52992
3.7,4280,10146,20970,7301,23837,52998
3.7,4281,10152,20978,7302,23842,53004
3.7,4281,10157,20979,7304,23842,53006
3.7,4281,10161,20995,7304,23843,53009
3.7,4281,10163,21008,7305,23844,53017
3.7,4281,10164,21033,7309,23845,53026
3.8,4281,10166,21053,7309,23845,53028
3.8,4281,10172,21067,7310,23854,53037
3.8,4281,10174,21068,7312,23854,53043
3.8,4281,10187,21118,7313,23856,53048
3.8,4281,10198,21126,7314,23857,53049
3.8,4282,10210,21176,7315,23863,53055
3.8,4282,10212,21185,7316,23870,53059
3.8,4282,10215,21201,7317,23872,53064
3.9,4282,10220,21247,7319,23874,53065
3.9,4282,10225,21260,7321,23875,53065
3.9,4283,10231,21261,7322,23876,53073
3.9,4284,10237,21262,7324,23876,53077
3.9,4284,10240,21275,7329,23879,53077
3.9,4284,10242,21280,7329,23881,53078
3.9,4285,10242,21299,7330,23882,53080
3.9,4285,10244,21327,7331,23884,53088
4.0,4285,10250,21333,7334,23887,53096
4.0,4285,10261,21334,7336,23889,53103
4.0,4286,10262,21340,7336,23890,53105
4.0,4286,10263,21341,7341,23892,53106
4.0,4286,10264,21342,7342,23893,53106
4.0,4286,10264,21346,7345,23894,53106
4.0,4286,10269,21353,7347,23895,53110
4.0,4286,10269,21374,7347,23895,53110
4.0,4287,10270,21430,7348,23895,53112
4.1,4287,10276,21432,7351,23897,53113
4.1,4287,10277,21436,7351,23900,53115
4.1,4287,10280,21447,7353,23903,53116
4.1,4287,10284,21474,7356,23903,53119
4.1,4288,10300,21491,7357,23903,53119
4.1,4288,10306,21508,7357,23905,53120
4.1,4289,10308,21550,7359,23906,53120
4.2,4289,10308,21560,7359,23909,53122
4.2,4289,10310,21578,7365,23909,53122
4.2,4289,10319,21594,7366,23910,53123
4.2,4289,10323,21611,7369,23912,53124
4.2,4289,10325,21616,7372,23914,53124
4.2,4289,10327,21624,7374,23915,53126
4.2,4290,10331,21651,7376,23915,53126
4.2,4291,10331,21659,7379,23916,53126
4.2,4291,10342,21661,7391,23917,53129
4.3,4291,10348,21663,7394,23917,53130
4.3,4291,10349,21705,7395,23923,53139
4.3,4291,10354,21723,7396,23926,53150
4.3,4292,10354,21724,7401,23929,53152
4.3,4292,10357,21724,7403,23931,53155
4.3,4293,10368,21779,7403,23931,53157
4.3,4293,10371,21837,7404,23931,53157
4.3,4293,10375,21866,7407,23932,53158
4.4,4294,10379,21892,7408,23934,53158
4.4,4295,10383,21900,7410,23934,53160
4.4,4295,10396,21975,7418,23934,53160
4.4,4296,10398,21991,7423,23938,53163
4.4,4296,10399,21996,7424,23939,53165
4.4,4296,10401,21997,7425,23940,53168
